idx,class,conversation
10,갈취 대화,"무엇을 드릴까요?
원 말보 레드.
네, 여기요!
여기 사장님 없으신가요?
네, 지금 미스터 그랜트가 안 계세요. 무엇을 찾고 계신가요?
이제부터 내 말 들어봐 이 주머니에 돈 다 넣어.
뭐 하는 거야?
shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut shut
살게 해 주세요.
안 맞히면 때릴 거야.
네, 여기 있습니다.
빨리 줄게, 경찰에 전화할 때 알아?"
11,직장 내 괴롭힘 대화,"오늘 도대체 뭐 했어?
창고 치웠어, 바닥 치웠어.
이거 한 거야?
그래, 열심히 했어.
이거 왜 안 찍었어?
하라고 안 했잖아.
내가 말했잖아, 네가 내 말을 듣지 않았어.
아니요, 지금 바로 할게요.
신선한 물을 먹고 먹으라고 한 거야?
죄송합니다."
12,협박 대화,"네, 무슨 일로 전화하셨나요?
우리 애가 지우개를 훔쳐서 애들 앞에서 숨겼어?
아니, 따님이 한두 번 훔친 게 아니라 여러 번 훔쳐서 경찰에 신고하면 너무 아쉽다고 생각하셨어요.
우리 아이가 항상 훔쳤다고 확신해?
당신을 본 아이들이 있고, 나는 그것을 확신합니다.
안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼,
내 아이를 implicate하지 마세요.
우리 애가 울면서 들어왔는데 못 넘어가겠다 아기를 죽여버리겠다.
이런 거 하지 마 나 큰일 났어 그냥 교육 수준에서 한 마디 했다.
안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼, 안 돼,"
13,갈취 대화,"형, 돈 있어?
저요?
얼마 가지고 계세요?
저는 돈이 없는데 왜 형이에요?
돈만 주면 이길 수 없어.
나 진짜 현금이 없어.
이 지갑을 주머니에 넣었어요! 지갑을 살펴봐도 될까요? 내가 지갑을 살펴볼 때 너는 어떻게 할 거야?
나 진짜 안 왔어 미안해.
나 진짜 지갑이 있어, 그냥 이렇게 얘기하는 게 웃겨?
지갑에 돈이 없어요. 죄송합니다."
14,직장 내 괴롭힘 대화,"김사.
왜 그러세요?
오늘 중으로 제출해야 하는데 그렇게 해주실 수 있나요?
할 일이 많아요.
아니, 얘가 도와달라고 하는데 저렇게 하면 안 돼?
할 일이 많아요.
귀하와 대면해서 작업해야 하는데 처리해 주실 수 있으신가요?
뭐야?
할 수 있으면 하지 마.
아니, 내가 할게."
15,갈취 대화,"저기요, 핸드폰 좀 빌려도 될까요?
노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노,
입을 다물고 핸드폰 주세요.
전화기를 주시면 다시 결제해드리겠습니다, 그렇죠?
네, 게임 현금이 다 떨어졌어요.
아니, 진짜.
그냥 주시겠어요?
아마 한 번 더 픽업해서 휴대전화를 가져갈 수 있을 것 같습니다.
오늘 왜 이렇게 많이 따라와.
제발."
16,갈취 대화,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전화하셨어요?
글쎄요, 누가 더 그럴까요?
왜 전화 안 해?
지갑을 잃어버려서 돈이 없어요.
아니요, 현금이 없어요.
주머니에 있는 걸 열어.
이러면 안 돼.
저게 제가 판단할게요, 저게 주세요.
이거 내 돈 아니야.
들어갈 수 있어?
그건 제 돈이 아니에요."
17,갈취 대화,"얼마 받았어?
약 100달러.
이봐요, 이걸로 어떻게 새 휴대폰을 사나요?
이게 제가 할 수 있는 최선이었어요.
자, 최선을 다하자, 때리자.
제발 날 때리지 마!
그럼 내일까지 3배로 해주세요.
어떻게 하는 거야?
아, 그렇게 생각하셔야 합니다.
어떡해."
18,기타 괴롭힘 대화,"야, 너 재킷에 불이 붙네.
어?
때려보자.
아, 진짜.
아팠어?
무슨 소리야.
왜 그러세요?
야, 미쳤어?
너무 뜨거워, 너무 예쁘다.
블랙 블랙."
19,직장 내 괴롭힘 대화,"물탱크를 바꿔주실 수 있나요?
안 되고 싶은데 물만 먹는 게 아니라 한 번씩 하는 게 나뿐이야.
당신은 우리 부서에서 유일한 남성 직원입니다.
아니, 저는 직원이 아니라 직원이에요.
그래서 못해?
매번 탱크를 자르고 짐을 싸는 게 틀린 게 아니에요.
왜냐하면 형이 남자 직원이니까 제일 튼튼하고 형이 우리 아내보다 많이 먹어.
저는 물을 많이 사용하지 않습니다. 저는 물을 운반합니다.
그리고 이 팀과 어떻게 잘 지낼 수 있을까요?
나를 왕으로 삼으려는 거야?"
20,협박 대화,"당신은 숫자라는 이름의 소년 학생입니까?
네, 그렇습니다. 무슨 일입니까? 선생님에게 무슨 일이 있었나요?
무슨 일이야, 난 그냥 네 신장 하나를 뺏을 거야.
놀지 마.
농담인지 아닌지 사진 보내드릴게요.
지금 바로 신고할게요.
전화할 거야, 아니면 어디 있는지 말할 거야?
저한테 원하는 게 있으면 제가 할 수 있는 한 최선을 다할 테니 상처 입히지 말아주세요.
그럼 내가 하는 말만 가져오면 끝이야.
할게요, 바로 할게요."
21,갈취 대화,"일전에 친구 지갑에서 돈을 훔쳤어.
왜 지금 그렇게 말하는 거야?
다 터지기 전에 주세요.
왜 줘야 돼?
다 폭파할 거야, 가져간 돈 주인과 다른 사람들?
얼마나 필요하신가요?
100원 주세요.
지금 100달러는 없어요.
왜 안 날려?
내일까지 드릴게요."
22,기타 괴롭힘 대화,"계란의 썩은 냄새는 어디서 맡나요?
뭐라고요?
친해.
놔둬, 핫해.
싸우고 싶다고?
나한테 화냈어?
저한테 무슨 짓을 하는 거예요, 이 자식들?
나 형 안 좋아해."
23,협박 대화,"저를 따라다니지 마세요.
당신을 만나려면 당신을 찾아야 할 거예요.
스토킹이야.
아직 헤어지지 않았어요.
저 좀 놔주시겠어요?
사랑해서 그래요.
제 비밀번호를 어떻게 아셨어요?
남자친구가 거기 들어가는 거 봤어, 남자친구가 집에 다른 남자를 숨기고 있는 것 같지 않았어?
노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노,
어디다리를 부러뜨리면 속일 수 없어요."
24,기타 괴롭힘 대화,"야, 말도 안 돼!
집이 헛간이라고 하셨잖아요.
..
판자촌이란 무엇인가요?
왜 집들이 다 위에 누워 있어?
귀신의 집처럼 다 무너졌어요.
아기, 유령의 집은 무너지지 않고, 그들의 집은 아마도 천장에 있을 것이고, 추워서 죽도록 얼어붙지 않습니다.
추워서 걱정할 필요가 없어.
아이고, 내가 뭘 썼으니까 밤이 끝날 때까지 쓸 수 있어.
제가 내일 사용하던 것을 드릴게요.
자기나 자존심이 없지?"
25,기타 괴롭힘 대화,"여보, 생계가 필요해.
아니, 아내가 나쁜 날 얘기할 때 돈이 많아요.
학비가.
변명하지 마!
저는 아무것도 안 입어요.
거짓말하지 마.
여보 제발 그러지 말고 그냥 생계를 좀 잡아줘.
다시는 보고 싶지 않아서 못해요.
나 진짜 아무것도 안 쓰는데 믿어봐.
이리 나와, 이 자식아, 너 너무 약해!"
26,협박 대화,"조용히 하라고 그랬는데 너 진짜 엉덩이야.
그러지 마.
봐봐, 내가 잘못했다면, 나한테 무슨 말을 하는 거야?
안 좋아.
경찰이시죠?
하지만 그건 사실이 아닙니다.
입술로 때릴 때 아직도 정신이 없지?
제발, 여기서만 멈추면 조용히 할게.
네가 조용히 하는 게 중요하지 않아, 아니면 네가 치아를 물어뜯거나 여기서 나갈 거야.
그만해 주세요."
27,갈취 대화,"돈을 빌리면 갚아요.
죄송합니다. 조금만 더 시간을 주시면 됩니다.
저는 강경한 사업가입니다.
그러게요. 부탁 하나 해드릴게요.
많이 남지 않은 것 같아요.
진짜 파산이야, 그냥 봐봐.
아직도 그 차들 중 하나를 가지고 계신가요?
그게 내가 가진 유일한 거야.
그러면 내가 그거를 줄 거고 다른 사람 돈 빌려서 돌아다녀야 돼, 그러면 떼고 갚아야 돼.
하지만 이자는 너무 비쌉니다.
말도 안 되는 말 하지 마, 내가 그걸로 할게."
28,협박 대화,"이리 와, 내가 죽여줄게.
도와줘.
아니요, 그냥 장난감을 위해 시간을 내려고요.
그만해 주세요.
그리고 자기 장난감으로 해야지, 이 칼로.
왜 이렇게까지 가야 해?
칼 맛이 나요.
도와줘.
살아있는 아이는 재미가 없어요.
자식아, 경찰이야, 이 미친놈.
저 총만 쏴, 목을 잘라줄게."
29,기타 괴롭힘 대화,"바보가 어떻게 아이스크림을 먹을 수 있어?
먹어도 돼?
당연하지 공부를 못 하는 엉덩이야.
그러니까 농장에서 나가자.
학교 폭력에 신고하지 마세요.
어머, 무서워 제발 죽이지 마.
가세요, 제발.
저라면 아이스크림 시간에 공부할 거예요.
그만해!
그래서 날 때리는 거야."
30,갈취 대화,"이렇게 좋은 시간에 귀찮게 해드려 죄송합니다.
누구야?
시시 씨, 흥분하지 마세요, 저는 그녀의 동생인데, 안타깝게도 그녀는 아직 18세가 아니에요.
저게 왜 그래.
푸하하, 이거 웃기다.
제가 실수를 했다고 생각해서 용서해 주세요.
모든 것을 용서하지만, 당신에게서 무언가가 필요합니다.
돈이 필요하시면 제 주식을 팔게요.
회사 은행을 소유했던 건물을 기억하시나요?
어떻게 저렇게 해."
31,기타 괴롭힘 대화,"저 따라오시는 거죠?
난 너 따라가지 않아.
내가 누군지 모르니?
아니, 아니야, 진짜 아니야, 나 아니야.
그만한 가치가 있다고 하네요.
나 진짜 진짜 아니야 여기도 안 가봤어.
야, 내 남자한테 좀 딱딱하다고 거짓말하지 마, 내가 다 듣고 있어.
진짜 나 아니야 나 같아.
입에 뭐 좀 해보자.
얘들아, 제발 이런 거 하지 마."
32,협박 대화,"이렇게 내 전화를 무시하면 안 하게 해.
어떻게 할 거야?
지금 바로 집에 가서 다 알려줄게.
정말 그렇게 하고 싶으신가요?
당신은 계속 전화를 무시하지 않고 해결책을 내놓지 않습니다.
어떻게 해드릴까요?
집에 가서 지금 와이프랑 얘기해 봐.
그러시면 안 돼요, 이혼할게요.
칼로 찢어서 죽을 거야.
나랑 이렇게 얘기하는 거 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도 안 놔도
그렇게 하면, 난 더 이상 너 옆에 서 있지 않을 거야."
33,기타 괴롭힘 대화,"야, 너 00고잖아.
왜 00고인데?
아이들은 모두 락헤드나 똥이라고 들었어요.
상관없어 공부 잘해.
상관없어, 친구들 다 공부 안 하고 다 애들이 놀고 있어.
나는 그들과 함께 놀지 않고 혼자 머물고 있습니다.
나는 고등학교에 가서 고등학교 친구들을 많이 만들 거야.
에이.
너는 어때, 인생이 망했어.
그만해."
34,기타 괴롭힘 대화,"사위.
하.
숨 쉬셨어요?
그렇게 부르지 마.
그냥 너 엉덩이라고 말하는 거야.
그러지 마.
손이 어떻게 저렇게 닦을 수 있어?
그러지 마.
그렇게 말씀하시는 건가요?
아, 때리지 마.
이 바보야!"
35,기타 괴롭힘 대화,"나 보지 말라고 했잖아.
죄송하지만 못 봤어요.
나 지금 너 보고 있어.
아니, 일부러 본 게 아니라.
맞아요 왜 거짓말하는 거야 거짓말이 나쁜 거야?
어.
그럼 우리 맞아야겠죠?
미안해, 미안해.
왜 그래요?
세미도어 쓰겠습니다."
36,직장 내 괴롭힘 대화,"당신은 몇 살이고 저는 몇 살인가요?
죄송합니다.
기본이 없으면 어떡해?
죄송합니다.
그거 듣고 싶지 않은데 이거 제대로 할 수 있어?
그럼 다음부터 시작하겠습니다.
다른 방법이 없는지 모르겠어요, 제대로 해 주세요!
네. 정말 죄송합니다.
요즘 젊은이들한테 문제가 많아요.
죄송합니다."
37,갈취 대화,"야, 나 오늘 지갑이 없었는데 50원을 빌려줘.
아, 저번에 빌린 돈을 안 주셨네요.
급합니다. 바로 드리겠습니다.
너한테 주고 싶지 않아.
우리끼리 무슨 일이야.
아, 정말 힘들어요.
이거 한 번만 주시면 다시는 안 물어보겠습니다.
저거면 진짜 충분해.
더 이상 귀찮게 하지 않겠습니다. 이것만 주세요.
이번이 마지막입니다."
38,직장 내 괴롭힘 대화,"선생님, 오늘 통화 중이시죠?
그리고?
전체 직원에게 부모님이 많다고 문자를 보내달라고 부탁해도 될까요?
그게 사업 아니야?
아, 네, 하지만 주말이라 연락주신 분께 여쭤봅니다.
문자를 못 쓰겠어 너 와서 해.
뭐야?
안 들었어, 안 들었어, 안 들었어, 안 들었어, 안 들었어, 안 들었어, 안 들었어, 안 들었어, 안 들었어, 안 들었어, 안 들었어.
주말이고, 사무실까지 가는 데 시간이 좀 걸리지만, 부탁드리려고 합니다.
오실지 안 오실지 모르겠어요, 끊으세요."
39,기타 괴롭힘 대화,"왜 내 프로필 사진을 찍었어?
왜 오셨어요?
네 말이 맞아, 그런데 왜 이러는 거야?
약간 닮았어요.
날 놀리려고 하고, 다른 사람의 사진으로 이렇게 하는 건 불법이야.
아, 네? 제가 이렇게 했다는 증거가 있나요? 제 핸드폰에서 다른 사람이었을 수 있어요.
그럼 사진을 삭제해 주세요.
웃기다 돼지 같아 좋다 야 돼지를 얼굴에 넣는 게 왜 그래.
뭐야, 돼지?
저거 돼지 아니야, 걸을 때마다 삐걱거리고."
40,갈취 대화,"줘봐, 줘봐.
저는 없는데, 무엇을 원하시나요?
가서 확인해 보는 게 어때요?
뒤돌아보고 무슨 일이 일어날지 볼 수 없다면요?
노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노,
싫은데.
진짜 죽고 싶어.
내가 왜 죽을까.
맞아, 미쳤어.
그 정도면 충분합니다. 조금 더 필요합니다.
너 지금 정신이 없어졌어.
얼마나 필요하신가요?
10만 가져와."
41,협박 대화,"제 돈을 훔쳤죠?
내가 왜 네 돈을 훔쳐?
지갑에 있는 돈?
다른 데 잃어버렸나 봐요, 저는 아니에요.
당신은 당신의 집이 너무 가난해서 찢어질 수 없다고 말했습니다.
그래서 훔친 거야?
아, 도둑이시죠?
나 진짜 아니야.
너 같은 이 년은 손목을 부러뜨려야 또 훔칠 수 없죠?
나 아니야!
비명을 지르지 마 귀찮게 해줘 손목이 부러지고 입이 막혔을 때 깨고 싶어?"
42,직장 내 괴롭힘 대화,"이봐요, Joe 씨, 저를 위해 이렇게 해주실 수 있나요?
전화하셨어요?
그래서, 여기 너보다 더 많은 사람이 있어?
하지만 그는 직장에 있고, 당신이 그를 그렇게 부르는 것은 아닌 것 같아요.
뭐야, 내 이름을 쓸 때 전화하라고?
오케이 오케이.
일을 하고 나중에 거기에 쓰레기를 좀 놔둬요. 치료실은 너무 더럽습니다.
나 혼자 있어도 너무 힘들어.
그러면 나 늙었어?
알겠습니다, 거기로 드리겠습니다."
43,기타 괴롭힘 대화,"이번에는 약속한 만큼 안 가져가셨네요.
0.1이 아니었어요.
그런데 못  돼지 못  돼지 못  돼지.
해봤어, 해봤어, 해봤어.
그렇게 많이 먹기로 했는데 어디서 돼지가 이상하게 들리나요?
내가 돼지는 아니지만 더 노력하면 예쁠 거야.
돼지가 먹어보면 예뻐요, 예뻐면 다 같은 돼지니까.
돼지가 아니라 그러지 마.
형이 창피해, 돼지 돼지 나를 아는 척하지 마.
싫어."
44,갈취 대화,"이렇게 운전하면 어떡해?
뭐야, 뭐야.
주차하는 동안 내 자전거를 부딪혔어.
무슨 소리야, 주차라인에 멋진 차가 있어.
여기 봐, 내 자전거가 이렇게 떨어졌어, 네 차가 내 자전거를 맞았어!
이런 일이 일어나고 있다는 게 믿기지 않네요!
경찰에 전화할 수 있지만, 여기가 또 호텔 주차장입니다.
말도 안 되는 말 하지 마.
경찰 불러보겠습니다, 보험사 불러보겠습니다, 그 아가씨 남편 불러보겠습니다.
이것은 완전한 사기입니다."
45,직장 내 괴롭힘 대화,"이번에는 아이 휴가를 갈 거예요.
너 남자야, 너 아이 쉬는 날이야.
우리 와이프 혼자 힘들어.
그렇기 때문에 당신에게 쉽지 않을 것입니다.
하지만 회사의 복지에는 유가에 대한 사무 시스템이 있습니다.
그래, 쓸 수 있어, 먹어봐.
아니, 뭐야.
퇴근하셨어요, 자리가 있는지 보러 오셨네요.
너무 불공평한 것 같아요.
지금 바로 멈출 수 있어요."
46,기타 괴롭힘 대화,"야, 재중아.
똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥똥
하.
나 더 안 좋아, 이 자식아.
볼 때 애라고 부르지 마, 애해.
그래 미안해 그만해 미안해.
야, 현우야 가자, 우리 엉망이 돼, 나중에 큰일 나.
아니, 그거는 웃기지 않아 야, 나 못살게 해줘, 어떻게 해야 되는지.
저 더러운 놈이 큰일 났으면 우리만 만져줘야 돼.
좋아요, 제가 가져갈게요.
제가 뭘 해서 그럴 자격이 있는지 몰라서 계속 말씀드리는데, 그만한 가치가 없어요.
고등학교에서 뵙겠습니다, 먼지 속에서 뵙겠습니다.
이 자식아, 중학교는 아깝다.
형이 잘못 잡은 사람이야, 성적표를 내려갈 준비."
47,기타 괴롭힘 대화,"마이 민호, 바에 팔이 하나밖에 없어.
얘들아, 놀리지 마.
너 놀리는 거 아니야.
네가 나를 놀리는 게 믿기지 않아.
똥 치고 가시는 거 어때요?
왜 그러세요?
야, 짜증 나네, 이 자식아.
아니, 날 놀리는 것 같아.
다시 말해, 다음에 죽여버릴게.
네, 죄송합니다."
48,갈취 대화,"좋은 말을 할 때가 되면 그냥 놔둬.
아버지한테 받은 거야.
아니 그냥 빌리는 거야 벗고.
아, 이거 안 돼.
야, 가자, 가자, 가자.
제발.
장난치지 마, 가진 거 다 줘.
돌려주세요.
뭐 좀 돌려줘, 이 자식아.
안 돼."
49,협박 대화,"게임팀 매니저예요?
응, 글쎄, 넌 초등학교 아이를 이길만한 키도 아니잖아, 네가 나에게 햄버거를 사줄 거니까, 집에 가.
종군 전쟁이었고, 그걸 망친 건 너였어.
그래서 게임과 현실의 차이를 구분하지 못해서 방 구석에 히키코모리처럼 살고 있는 것 아닌가?
좋아, 할 수 있을 때, 할 수 있을 때까지 계속 얘기해.
누구신지 모르겠지만 게임과 현실을 분리해 주세요, 그러면 당신은 당신의 길을 벗어났기 때문에 누군가를 죽일 것입니다.
진짜 세상과 진짜 세상을 구분할 수 없어서 게임처럼 죽여버릴 거야.
에이, 그냥 게임이야, 다음에는 안 할게.
그렇게 얘기했으면 바로 넘겼을 텐데.
에이, 총 어디서 났어, 빨리 내려."
50,갈취 대화,"야, 지나간 애 잘한다고 했잖아.
네, 선생님. 저는 우리 학교 최고의 아이들 중 한 명입니다.
맞아, 어렸는데도 집 끝을 내주는 거야.
알겠습니다, 다시 전화 주세요.
네, 고객님!
야, 내 동생 좀 잠깐 봐봐.
왜요?
나랑 얘기하지 마 거기 도착하면 알잖아 따라와.
야, 너 집 사려고 하는데 우리 놀기로 되어 있는데 아무것도 없어서 지갑 좀 빌려줘.
이거 하지 마 나 돈 없어.
글쎄요, 가방을 뒤져서 돈을 받으면, 1,000달러에 얼굴을 받나요?"
51,직장 내 괴롭힘 대화,"살을 빼야지.
그래, 사람들이 너무 느린 것 같은데, 살을 빼는 게 어때?
운동을 하네.
회사도 바쁘신데 운동하실 시간이 있으신가요?
옳은 일을 하지 못해, 옳은 일을 못해, 옳은 일을 못해.
죄송합니다.
운동하는 게 아니라 먹는 걸 줄이는 거야.
나는 사무실에 있을 거야, 나는 약간 엉덩이가 될 거야.
죄송합니다.
왜 항상 미안하다고 말하는 거야?"
52,기타 괴롭힘 대화,"새우버거
새우 햄버거 말고도, 주근깨 좀 드릴까요?
무슨 소리야.
죄송합니다, 다른 이름입니다.
그러니까 뭐야, 줘, 줘, 줘, 줘!
당신이 그것을 받았을 때 당신이 편안하지 않은지 확인하고 싶었습니다.
뭐가 달라요?
아 새우 들어간 것 같은데 치즈 들어간 것 같은데.
치즈 없으면 안 돼, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야, 이 바보야!
죄송합니다."
